Player,Team,Class,Height,Position
Jaida Belton, Texas Southern (SWAC),So.,6-4,F
Trinity Williams, NJIT (America East),Jr.,6-1,F
JuJu Watkins, Southern California (Pac-12),Fr.,6-2,G
Allyson Fertig, Wyoming (Mountain West),Jr.,6-4,C
Rita Igbokwe, Ole Miss (SEC),Sr.,6-4,F
Kyndall Golden, Kennesaw St. (ASUN),Sr.,6-3,F
Layne Ferrell, Wright St. (Horizon),Sr.,6-2,G
Tamari Key, Tennessee (SEC),Sr.,6-6,C
Anajah Brown, Siena (MAAC),Jr.,6-1,F
Ryley Goebel, UNI (MVC),So.,5-11,F
Deja Evans, UAlbany (America East),Fr.,6-2,F
Alex Covill, Washington St. (Pac-12),Fr.,6-6,C
Mackenzie Holmes, Indiana (Big Ten),Sr.,6-3,F
Kierra Wheeler, Norfolk St. (MEAC),Jr.,6-1,F
Kennedy Basham, Oregon (Pac-12),So.,6-7,F
Maria Gakdeng, North Carolina (ACC),Jr.,6-3,C
Amiya Joyner, East Carolina (AAC),So.,6-2,F
Hadley Periman, Tulsa (AAC),So.,6-2,G
Temira Poindexter, Tulsa (AAC),Jr.,6-1,F
Leyla Öztürk, Manhattan (MAAC),Sr.,6-1,F
Kate Samson, Navy (Patriot),So.,6-4,C
Adela Valkova, UT Arlington (WAC),Jr.,6-3,F
Sydney Mech, Colorado St. (Mountain West),Sr.,6-2,F
Bree Stephens, Central Ark. (ASUN),Jr.,6-0,F
Brenna McDonald, Yale (Ivy League),Sr.,6-3,F
Liatu King, Pittsburgh (ACC),Sr.,6-0,F
Charlotte Kohl, New Mexico (Mountain West),Sr.,6-5,C
Ashlee Lewis, Cal St. Fullerton (Big West),Sr.,6-1,C
Jillian Archer, St. John's (NY) (Big East),Sr.,6-2,F
Sitori Tanin, Loyola Chicago (Atlantic 10),Sr.,6-2,F
Raanee Smith, Sam Houston (CUSA),Sr.,6-2,F
Kylee Watson, Notre Dame (ACC),Sr.,6-4,F
Mya Moore, Seattle U (WAC),So.,6-0,F
Elyssa Coleman, UTSA (AAC),Jr.,6-3,F
Amhyia Moreland, San Jose St. (Mountain West),Jr.,6-1,F
Caitlin Staley, Western Ky. (CUSA),Fr.,6-3,F
Meghan Andersen, Fairfield (MAAC),Fr.,6-1,F
Taisha Exanor, Monmouth (CAA),Sr.,6-0,F
Jordan Obi, Penn (Ivy League),Sr.,6-1,F
Camilla Emsbo, Duke (ACC),Sr.,6-5,F
Nabaweeyah McGill, A&M-Corpus Christi (Southland),Sr.,6-2,F
Sacha Washington, Vanderbilt (SEC),Jr.,6-2,F
Rose Nelson, Fordham (Atlantic 10),So.,6-1,F
Klarke Sconiers, Delaware (CAA),Sr.,6-2,C
Trista Hull, Boise St. (Mountain West),Jr.,6-2,F
Alyssa Latham, Syracuse (ACC),Fr.,6-2,F
Brianna Scott, Georgetown (Big East),Jr.,6-4,F
Emma Calvert, BYU (Big 12),Jr.,6-4,F
Kennedy Brown, Duke (ACC),Sr.,6-6,F
Adreanna Waddle, Prairie View (SWAC),Jr.,6-2,F
Leilani Kapinus, Penn St. (Big Ten),Jr.,5-10,G
Maori Davenport, Ark.-Pine Bluff (SWAC),Sr.,6-5,C
Maya Peat, Ark.-Pine Bluff (SWAC),Sr.,6-6,C
Alasia Smith, Memphis (AAC),Jr.,5-10,G
Latasha Lattimore, Miami (FL) (ACC),Jr.,6-4,F
Raegan Beers, Oregon St. (Pac-12),So.,6-2,F
Amberly Brown, Mississippi Val. (SWAC),Jr.,6-1,F
River Baldwin, NC State (ACC),Sr.,6-5,C
Sophie Glancey, Northern Ariz. (Big Sky),So.,6-2,F
Mariona Planes Fortuny, Bryant (America East),Sr.,6-3,C
Olivia Pollerd, Santa Clara (WCC),Jr.,6-2,F
Laila Lawrence, Coppin St. (MEAC),Jr.,6-1,F
Zyheima Swint, Hofstra (CAA),Sr.,6-3,C
Morgan Lee, Marist (MAAC),So.,6-5,C
Phillipina Kyei, Oregon (Pac-12),Jr.,6-8,C
Rachel Loobie, Wright St. (Horizon),Sr.,6-1,F
Justice Ross, New Orleans (Southland),Sr.,6-0,G
Jasmin Dixon, Northwestern St. (Southland),Jr.,6-3,F
Marie Kiefer, Ball St. (MAC),Jr.,6-2,
Halle Smith, SIUE (OVC),So.,6-0,F
Shamarre Hale, Austin Peay (ASUN),Sr.,6-1,C
Emma Ronsiek, Creighton (Big East),Sr.,6-1,F
Anaja Hall, Alabama St. (SWAC),Fr.,6-5,C
Clara Strack, Virginia Tech (ACC),Fr.,6-5,C
Chaniya Clark, N.C. A&T (CAA),So.,6-4,C
Jadyn Donovan, Duke (ACC),Fr.,6-0,G
Melyia Grayson, Southern Miss. (Sun Belt),Jr.,6-3,C
Kendal Cheesman, Belmont (MVC),Jr.,6-2,F
Faith Stinson, IUPUI (Horizon),So.,6-2,F
Amaria McNear, High Point (Big South),Sr.,6-3,C
Liza Karlen, Marquette (Big East),Sr.,6-2,F
Tommisha Lampkin, North Texas (AAC),Sr.,6-2,F
Ava Learn, Murray St. (MVC),Jr.,6-1,F
Imani Perez, Hawaii (Big West),So.,6-4,F
Carmen Gfeller, Montana (Big Sky),Sr.,6-1,F
Mya Kone, FIU (CUSA),So.,6-2,F
Aaronette Vonleh, Colorado (Pac-12),Jr.,6-3,F
Maddy Westbeld, Notre Dame (ACC),Sr.,6-3,F
ZiKeyah Carter, Chicago St. (DI Independent),Jr.,6-6,C
Meghan Downing, ETSU (SoCon),So.,6-2,F
Charlotte O'Keefe, UTRGV (WAC),So.,6-3,F
Hannah Ronsiek, Colorado St. (Mountain West),So.,5-11,G
Aneesah Morrow, LSU (SEC),So.,6-1,F
Eden Johnson, Ga. Southern (Sun Belt),Sr.,6-2,F
Meghan O'Brien, Lehigh (Patriot),Jr.,6-1,F
Saylor Poffenbarger, Arkansas (SEC),So.,6-2,G
Dani Bartsch, Montana (Big Sky),Jr.,6-2,F
Tori Nelson, South Dakota St. (Summit League),Sr.,6-1,F
Ta'Mia Scott, Middle Tenn. (CUSA),So.,6-0,G
Stina Almqvist, Penn (Ivy League),Jr.,6-0,G
Alissa Dins, Western Ill. (OVC),Sr.,6-1,C
Jordyn Merritt, Texas Tech (Big 12),Sr.,6-3,F
Amber Tretter, Miami (OH) (MAC),Fr.,6-1,F
Talo Li-Uperesa , CSUN (Big West),Jr.,5-11,F
Makayla Minett, Denver (Summit League),Sr.,6-3,F
Zahirah Walton, George Mason (Atlantic 10),So.,5-11,F
Rayne Tucker, Temple (AAC),Sr.,6-1,F
Mesa Byom, South Dakota St. (Summit League),Jr.,6-2,F
Khari Clark, Stony Brook (CAA),Sr.,6-2,C
Agnes Emma-Nnopu, TCU (Big 12),Sr.,5-11,G
Precious Johnson, Duquesne (Atlantic 10),Sr.,6-4,C
Ugonne Onyiah, California (Pac-12),Sr.,6-3,F
Bella Murekatete, Washington St. (Pac-12),Sr.,6-3,C
Ifunanya Nwachukwu, Kansas City (Summit League),Sr.,6-2,F
Tierra Simon, Saint Louis (Atlantic 10),Jr.,6-1,F
Layla Gold, Valparaiso (MVC),Fr.,5-11,G
Deasia Merrill, Georgia St. (Sun Belt),Sr.,6-1,F
Tessa Chaney, Utah Valley (WAC),So.,6-3,C
Rayne Durant, UMass Lowell (America East),Fr.,6-1,F
Debora Dos Santos, San Francisco (WCC),Jr.,6-0,F
Zoe McCrary, Col. of Charleston (CAA),Sr.,6-2,F
Anna Foley, Quinnipiac (MAAC),Fr.,6-3,C
Ashlee Locke, Mercer (SoCon),Jr.,6-3,F
Anna Walker, Tennessee Tech (OVC),Sr.,6-1,F
Malea Williams, Cincinnati (Big 12),Sr.,6-4,F
Kyra Wood, Syracuse (ACC),Jr.,6-3,F
Kiersten Johnson, Oklahoma (Big 12),So.,6-4,F
Tara Wallack, Washington St. (Pac-12),Jr.,6-2,G
Charlise Dunn, Davidson (Atlantic 10),So.,6-2,G
Zoe Nelson, SFA (WAC),Jr.,6-1,G
Ashley Banks, Southern Utah (WAC),So.,6-5,C
Laura Bello, Idaho St. (Big Sky),Jr.,6-3,F
Paige Mott, Northwestern (Big Ten),Sr.,6-1,F
Megan Norris, UC Davis (Big West),Jr.,6-3,C
Sherese Pittman, Stony Brook (CAA),Jr.,6-2,F
Khalis Cain, UNC Greensboro (SoCon),Sr.,6-3,F
Carmyn Harrison, Belmont (MVC),Jr.,6-2,F
Flau'jae Johnson, LSU (SEC),So.,5-10,G
Natalija Marshall, Notre Dame (ACC),Sr.,6-5,F
Hannah Noveroske, Toledo (MAC),Sr.,6-5,C
Skylar Forbes, Marquette (Big East),Fr.,6-3,F
Rylan Moffitt, App State (Sun Belt),So.,6-0,F
Yaubryon Chambers, Tennessee Tech (OVC),Sr.,6-1,F
Mariona Cos-Morales, Rider (MAAC),Jr.,6-1,G
Sierra McCullough, Eastern Ky. (ASUN),Sr.,6-2,F
Mackenzie Wurm, Louisiana Tech (CUSA),Jr.,6-4,F
Jo Oly, Houston Christian (Southland),So.,6-0,F
Tiarra Brown, Grand Canyon (WAC),Sr.,5-9,G
India Howard, North Ala. (ASUN),So.,6-0,F
Madilyn Dogs, NJIT (America East),Fr.,6-0,G
Lainey Allen, UMES (MEAC),So.,6-2,F
Kayla Clark, Bethune-Cookman (SWAC),Jr.,6-3,C
