Height,MINUTES_PLAYED,THREE_POINTS_MADE,FREE_THROWS_MADE,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS
69,924,31,111,138,89,123,46,2,67
65,878,23,24,57,119,76,11,3,55
69,1073,88,54,92,58,86,54,6,46
72,886,33,72,128,82,91,52,11,62
66,535,22,24,57,48,50,50,3,37
71,978,55,36,227,49,49,36,36,93
74,682,20,23,149,20,28,12,35,48
67,824,25,123,114,156,104,54,3,66
70,864,3,95,226,28,43,42,2,54
75,658,13,29,157,41,60,38,31,59
67,801,14,36,107,99,81,74,15,78
73,981,0,105,346,51,82,47,18,93
73,769,39,73,111,58,50,37,15,50
72,972,44,110,127,48,47,44,13,62
69,573,9,60,143,48,54,82,12,81
66,782,35,77,85,107,85,39,0,58
74,467,1,105,149,41,57,17,21,79
73,835,8,68,250,43,41,35,5,51
73,590,0,33,116,20,45,34,39,74
72,869,14,102,196,66,77,35,17,78
68,915,69,48,99,69,63,32,7,62
70,760,35,44,81,97,82,34,8,47
71,634,7,97,166,14,36,40,31,67
77,707,0,43,221,34,62,21,73,75
74,759,9,33,217,44,42,15,47,71
69,746,35,81,85,57,65,64,5,60
75,714,0,39,229,9,25,25,30,64
73,1023,11,93,321,57,58,83,41,73
67,1118,71,76,66,40,51,23,6,49
76,405,5,27,84,13,30,9,34,29
77,481,0,33,94,21,39,15,42,45
73,629,3,48,172,24,63,24,41,100
75,814,2,101,200,41,74,26,41,67
64,925,21,103,82,132,67,69,0,57
67,824,64,17,136,56,72,51,1,63
76,573,8,9,95,31,32,12,66,56
73,831,50,47,171,117,73,35,28,69
71,870,0,81,318,28,95,39,14,84
68,933,60,49,53,69,93,32,3,59
70,1050,65,39,131,68,53,69,9,43
69,1022,15,121,220,165,124,54,9,69
71,1062,81,56,106,76,73,23,6,75
69,928,19,67,96,136,71,32,10,55
68,995,32,17,57,186,64,36,1,48
66,895,55,43,122,105,110,36,5,60
76,771,0,54,275,40,35,28,58,62
73,957,57,34,170,45,38,18,5,70
66,749,5,32,88,114,60,46,4,58
70,857,6,76,186,182,99,81,5,70
73,815,58,26,140,34,46,19,19,51
66,1047,56,36,96,67,82,51,3,68
73,779,1,82,240,63,52,44,29,71
68,1115,32,157,123,101,77,44,9,78
72,913,52,106,129,57,50,40,14,43
67,514,10,7,87,60,46,59,1,71
72,858,1,33,135,59,63,24,25,63
65,1054,26,114,165,170,83,50,2,54
74,960,65,12,109,27,42,22,21,50
73,837,24,74,207,37,95,37,14,99
69,903,17,83,123,74,110,42,10,52
67,1096,50,154,101,150,136,60,7,74
